2026-06-11T07:24:42.898056475Z [inf]  request completed
2026-06-11T07:24:42.898060415Z [inf]  request completed
2026-06-11T07:24:42.911589005Z [inf]  request completed
2026-06-11T07:24:43.036112761Z [inf]  Crash round started
2026-06-11T07:24:43.144325207Z [inf]  request completed
2026-06-11T07:24:44.115631668Z [inf]  request completed
2026-06-11T07:24:44.817039946Z [inf]  request completed
2026-06-11T07:24:45.120339688Z [inf]  WebSocket client connected
2026-06-11T07:24:46.439056630Z [inf]  Crash round crashed
2026-06-11T07:24:51.450511011Z [inf]  Crash round waiting
2026-06-11T07:24:54.724704671Z [inf]  WS client failed to authenticate — closing
2026-06-11T07:24:54.918365467Z [inf]  WebSocket client disconnected
2026-06-11T07:24:59.450828313Z [inf]  Crash round started
2026-06-11T07:25:00.464131637Z [inf]  WebSocket client connected
2026-06-11T07:25:01.860482143Z [inf]  Crash round crashed
2026-06-11T07:25:06.865824780Z [inf]  Crash round waiting
2026-06-11T07:25:14.868253470Z [inf]  Crash round started
2026-06-11T07:25:15.030859533Z [inf]  request completed
2026-06-11T07:25:22.111475527Z [inf]  Crash round crashed
2026-06-11T07:25:25.659030267Z [inf]  WebSocket client disconnected
2026-06-11T07:25:25.663452831Z [inf]  request completed
2026-06-11T07:25:25.663455351Z [inf]  request completed
2026-06-11T07:25:25.667764418Z [inf]  request completed
2026-06-11T07:25:25.668185721Z [inf]  request completed
2026-06-11T07:25:25.672530667Z [inf]  request completed
2026-06-11T07:25:27.111463805Z [inf]  Crash round waiting
2026-06-11T07:25:28.125005789Z [inf]  request completed
2026-06-11T07:25:33.750527779Z [inf]  request completed
2026-06-11T07:25:35.126070367Z [inf]  Crash round started
2026-06-11T07:25:39.496486815Z [inf]  request completed
2026-06-11T07:25:39.500220200Z [inf]  Achievement unlocked
2026-06-11T07:25:46.172959004Z [inf]  request completed
2026-06-11T07:25:46.604007839Z [inf]  Crash round crashed
2026-06-11T07:25:49.732496330Z [inf]  request completed
2026-06-11T07:25:51.612803902Z [inf]  Crash round waiting
2026-06-11T07:25:53.836845005Z [inf]  request completed
2026-06-11T07:25:57.981088841Z [inf]  request completed
2026-06-11T07:25:58.308989367Z [inf]  request completed
2026-06-11T07:25:59.606542079Z [inf]  Crash round started
2026-06-11T07:26:01.712222862Z [inf]  Crash round crashed
2026-06-11T07:26:03.748873852Z [inf]  request completed
2026-06-11T07:26:03.752892372Z [inf]  request completed
2026-06-11T07:26:03.757131030Z [inf]  request completed
2026-06-11T07:26:03.761134800Z [inf]  request completed
2026-06-11T07:26:06.115411113Z [inf]  request completed
2026-06-11T07:26:06.504883368Z [inf]  WebSocket client connected
2026-06-11T07:26:06.722440784Z [inf]  Crash round waiting
2026-06-11T07:26:14.719934644Z [inf]  Crash round started
2026-06-11T07:26:16.827316355Z [inf]  Crash round crashed
2026-06-11T07:26:20.161997071Z [inf]  request completed
2026-06-11T07:26:20.171268004Z [inf]  request completed
2026-06-11T07:26:20.175684060Z [inf]  request completed
2026-06-11T07:26:20.195244650Z [inf]  WebSocket client disconnected
2026-06-11T07:26:21.830166071Z [inf]  Crash round waiting
2026-06-11T07:26:21.967421941Z [inf]  request completed
2026-06-11T07:26:21.974776552Z [inf]  request completed
2026-06-11T07:26:21.978491378Z [inf]  request completed
2026-06-11T07:26:21.982228162Z [inf]  request completed
2026-06-11T07:26:21.982231692Z [inf]  request completed
2026-06-11T07:26:21.986510769Z [inf]  request completed
2026-06-11T07:26:23.839117710Z [inf]  request completed
2026-06-11T07:26:23.848647979Z [inf]  request completed
2026-06-11T07:26:23.848652879Z [inf]  request completed
2026-06-11T07:26:29.832009817Z [inf]  Crash round started
2026-06-11T07:26:31.437684772Z [inf]  request completed
2026-06-11T07:26:31.450083329Z [inf]  request completed
2026-06-11T07:26:31.450087309Z [inf]  request completed
2026-06-11T07:26:32.941756939Z [inf]  Crash round crashed
2026-06-11T07:26:37.946922281Z [inf]  Crash round waiting
2026-06-11T07:26:38.296293553Z [inf]  request completed
2026-06-11T07:26:38.296297263Z [inf]  request completed
2026-06-11T07:26:38.303864671Z [inf]  request completed
2026-06-11T07:26:38.303868861Z [inf]  request completed
2026-06-11T07:26:39.817209235Z [inf]  request completed
2026-06-11T07:26:42.770246521Z [inf]  request completed
2026-06-11T07:26:42.777917998Z [inf]  request completed
2026-06-11T07:26:42.777921968Z [inf]  request completed
2026-06-11T07:26:45.208011796Z [inf]  request completed
2026-06-11T07:26:45.949489555Z [inf]  Crash round started
2026-06-11T07:26:47.447877706Z [inf]  request completed
2026-06-11T07:27:07.444565793Z [inf]  request completed
2026-06-11T07:27:07.444571043Z [inf]  Crash round crashed
2026-06-11T07:27:07.444576043Z [inf]  request completed
2026-06-11T07:27:07.444580413Z [inf]  request completed
2026-06-11T07:27:07.444589713Z [inf]  request completed
2026-06-11T07:27:07.444593963Z [inf]  Crash round waiting
2026-06-11T07:27:07.444598203Z [inf]  request completed
2026-06-11T07:27:07.444602163Z [inf]  request completed
2026-06-11T07:27:08.009948663Z [inf]  WebSocket client disconnected
2026-06-11T07:27:11.780241479Z [inf]  Crash round started
2026-06-11T07:27:13.882645348Z [inf]  Crash round crashed
2026-06-11T07:27:18.890530727Z [inf]  Crash round waiting
2026-06-11T07:27:26.893326449Z [inf]  Crash round started
2026-06-11T07:27:30.102056875Z [inf]  Crash round crashed
2026-06-11T07:27:35.125241131Z [inf]  Crash round waiting
2026-06-11T07:27:43.126735618Z [inf]  Crash round started
2026-06-11T07:27:50.646526420Z [inf]  Crash round crashed
2026-06-11T07:27:55.653443664Z [inf]  Crash round waiting
2026-06-11T07:28:03.655599634Z [inf]  Crash round started
2026-06-11T07:28:05.759064441Z [inf]  Crash round crashed
2026-06-11T07:28:10.763411093Z [inf]  Crash round waiting
2026-06-11T07:28:18.770627090Z [inf]  Crash round started
2026-06-11T07:28:20.877695821Z [inf]  Crash round crashed
2026-06-11T07:28:25.882597605Z [inf]  Crash round waiting
2026-06-11T07:28:33.881029746Z [inf]  Crash round started
2026-06-11T07:28:53.879676610Z [inf]  Crash round crashed
2026-06-11T07:28:53.879681340Z [inf]  Crash round waiting
2026-06-11T07:28:59.221400971Z [inf]  Crash round started
2026-06-11T07:29:19.223173116Z [inf]  Crash round crashed
2026-06-11T07:29:19.223177316Z [inf]  Crash round waiting
2026-06-11T07:29:24.359275105Z [inf]  Crash round started
2026-06-11T07:29:26.475144225Z [inf]  Crash round crashed
2026-06-11T07:29:31.470699960Z [inf]  Crash round waiting
2026-06-11T07:29:39.479328201Z [inf]  Crash round started
2026-06-11T07:29:41.583416616Z [inf]  Crash round crashed
2026-06-11T07:29:46.592256018Z [inf]  Crash round waiting
2026-06-11T07:29:54.602149941Z [inf]  Crash round started
2026-06-11T07:29:56.700049358Z [inf]  Crash round crashed
2026-06-11T07:30:01.706056287Z [inf]  Crash round waiting
2026-06-11T07:30:09.710681400Z [inf]  Crash round started
2026-06-11T07:30:11.833365777Z [inf]  Crash round crashed
2026-06-11T07:30:16.845874376Z [inf]  Crash round waiting
2026-06-11T07:30:24.859303930Z [inf]  Crash round started
2026-06-11T07:30:29.435221536Z [inf]  Crash round crashed
